fee_id,payment_id,fee_amt,tax_amt
FEE025127,PAY025164,448,112
FEE025128,PAY025165,540,135
FEE025129,PAY025166,554,138
FEE025130,PAY025167,502,126
FEE025131,PAY025168,888,222
FEE025132,PAY025169,234,58
FEE025133,PAY025170,745,186
FEE025134,PAY025171,388,97
FEE025135,PAY025172,656,164
FEE025136,PAY025173,689,172
FEE025137,PAY025174,552,138
FEE025138,PAY025175,64,16
FEE025139,PAY025176,799,200
FEE025140,PAY025177,511,128
FEE025141,PAY025178,542,135
FEE025142,PAY025179,275,69
FEE025143,PAY025180,100,25
FEE025144,PAY025181,550,138
FEE025145,PAY025182,231,58
FEE025146,PAY025183,710,177
FEE025147,PAY025184,677,169
FEE025148,PAY025185,218,55
FEE025149,PAY025186,599,150
FEE025150,PAY025187,811,203
FEE025151,PAY025188,723,181
FEE025152,PAY025189,941,235
FEE025153,PAY025190,323,81
FEE025154,PAY025191,832,208
FEE025155,PAY025192,457,114
FEE025156,PAY025193,830,207
FEE025157,PAY025194,433,108
FEE025158,PAY025195,285,71
FEE025159,PAY025196,957,239
FEE025160,PAY025197,835,209
FEE025161,PAY025198,438,110
FEE025162,PAY025199,92,23
FEE025163,PAY025200,937,234
FEE025164,PAY025201,41,10
FEE025165,PAY025202,238,60
FEE025166,PAY025203,802,201
FEE025167,PAY025204,71,18
FEE025168,PAY025205,533,133
FEE025169,PAY025206,149,37
FEE025170,PAY025207,318,79
FEE025171,PAY025208,68,17
FEE025172,PAY025209,643,161
FEE025173,PAY025210,702,176
FEE025174,PAY025211,551,138
FEE025175,PAY025212,719,180
FEE025176,PAY025213,411,103
FEE025177,PAY025214,420,105
FEE025178,PAY025215,482,121
FEE025179,PAY025216,706,177
FEE025180,PAY025217,726,181
FEE025181,PAY025218,610,152
FEE025182,PAY025219,351,88
FEE025183,PAY025220,137,34
FEE025184,PAY025221,413,103
FEE025185,PAY025222,714,178
FEE025186,PAY025223,813,203
FEE025187,PAY025224,913,228
FEE025188,PAY025225,891,223
FEE025189,PAY025226,87,22
FEE025190,PAY025227,920,230
FEE025191,PAY025228,958,239
FEE025192,PAY025229,456,114
FEE025193,PAY025230,483,121
FEE025194,PAY025231,229,57
FEE025195,PAY025232,361,90
FEE025196,PAY025233,223,56
FEE025197,PAY025234,888,222
FEE025198,PAY025235,196,49
FEE025199,PAY025236,190,47
FEE025200,PAY025237,75,19
FEE025201,PAY025238,933,233
FEE025202,PAY025239,214,53
FEE025203,PAY025240,492,123
FEE025204,PAY025241,193,48
FEE025205,PAY025242,696,174
FEE025206,PAY025243,516,129
FEE025207,PAY025244,244,61
FEE025208,PAY025245,800,200
FEE025209,PAY025246,845,211
FEE025210,PAY025247,78,20
FEE025211,PAY025248,282,71
FEE025212,PAY025249,819,205
FEE025213,PAY025250,815,204
FEE025214,PAY025251,907,227
FEE025215,PAY025252,115,29
FEE025216,PAY025253,731,183
FEE025217,PAY025254,304,76
FEE025218,PAY025255,145,36
FEE025219,PAY025256,867,217
FEE025220,PAY025257,392,98
FEE025221,PAY025258,950,238
FEE025222,PAY025259,385,96
FEE025223,PAY025260,821,205
FEE025224,PAY025261,522,131
FEE025225,PAY025262,471,118
FEE025226,PAY025263,284,71
FEE025227,PAY025264,321,80
FEE025228,PAY025265,243,61
FEE025229,PAY025266,192,48
FEE025230,PAY025267,105,26
FEE025231,PAY025268,912,228
FEE025232,PAY025269,49,12
FEE025233,PAY025270,134,34
FEE025234,PAY025271,112,28
FEE025235,PAY025272,309,77
FEE025236,PAY025273,270,68
FEE025237,PAY025274,613,153
FEE025238,PAY025275,378,95
FEE025239,PAY025276,152,38
FEE025240,PAY025277,920,230
FEE025241,PAY025278,574,144
FEE025242,PAY025279,390,97
FEE025243,PAY025280,355,89
FEE025244,PAY025281,272,68
FEE025245,PAY025282,138,35
FEE025246,PAY025283,391,98
FEE025247,PAY025284,859,215
FEE025248,PAY025286,85,21
FEE025249,PAY025287,218,54
FEE025250,PAY025288,378,94
FEE025251,PAY025289,200,50
FEE025252,PAY025290,891,223
FEE025253,PAY025291,255,64
FEE025254,PAY025292,234,59
FEE025255,PAY025293,308,77
FEE025256,PAY025294,712,178
FEE025257,PAY025295,30,7
FEE025258,PAY025296,433,108
FEE025259,PAY025297,322,81
FEE025260,PAY025298,952,238
FEE025261,PAY025299,689,172
FEE025262,PAY025300,375,94
FEE025263,PAY025301,910,228
FEE025264,PAY025302,106,27
FEE025265,PAY025303,182,46
FEE025266,PAY025304,650,162
FEE025267,PAY025305,923,231
FEE025268,PAY025306,828,207
FEE025269,PAY025307,250,63
FEE025270,PAY025308,599,150
FEE025271,PAY025309,122,31
FEE025272,PAY025310,654,163
FEE025273,PAY025311,592,148
FEE025274,PAY025312,330,82
FEE025275,PAY025313,598,149
FEE025276,PAY025314,196,49
FEE025277,PAY025315,41,10
FEE025278,PAY025316,837,209
FEE025279,PAY025317,741,185
FEE025280,PAY025318,949,237
FEE025281,PAY025319,76,19
FEE025282,PAY025320,291,73
FEE025283,PAY025321,95,24
FEE025284,PAY025322,206,52
FEE025285,PAY025323,875,219
FEE025286,PAY025324,716,179
FEE025287,PAY025325,637,159
FEE025288,PAY025326,52,13
FEE025289,PAY025327,685,171
FEE025290,PAY025328,309,77
FEE025291,PAY025329,551,138
FEE025292,PAY025330,786,197
FEE025293,PAY025331,58,15
FEE025294,PAY025332,285,71
FEE025295,PAY025333,106,26
FEE025296,PAY025334,281,70
FEE025297,PAY025335,266,67
FEE025298,PAY025336,636,159
FEE025299,PAY025337,821,205
FEE025300,PAY025338,545,136
FEE025301,PAY025339,368,92
FEE025302,PAY025340,595,149
FEE025303,PAY025341,38,9
FEE025304,PAY025342,793,198
FEE025305,PAY025343,188,47
FEE025306,PAY025344,112,28
FEE025307,PAY025345,846,212
FEE025308,PAY025346,184,46
FEE025309,PAY025347,946,237
FEE025310,PAY025348,258,64
FEE025311,PAY025349,916,229
FEE025312,PAY025350,332,83
FEE025313,PAY025351,109,27
FEE025314,PAY025352,766,192
FEE025315,PAY025353,743,186
FEE025316,PAY025354,161,40
FEE025317,PAY025355,588,147
FEE025318,PAY025356,556,139
FEE025319,PAY025357,865,216
FEE025320,PAY025358,597,149
FEE025321,PAY025359,897,224
FEE025322,PAY025360,935,234
FEE025323,PAY025361,279,70
FEE025324,PAY025362,302,75
FEE025325,PAY025363,771,193
FEE025326,PAY025364,706,176
FEE025327,PAY025365,893,223
FEE025328,PAY025366,892,223
FEE025329,PAY025367,141,35
FEE025330,PAY025368,218,55
FEE025331,PAY025369,133,33
FEE025332,PAY025370,206,51
FEE025333,PAY025371,831,208
FEE025334,PAY025372,478,119
FEE025335,PAY025373,62,16
FEE025336,PAY025374,416,104
FEE025337,PAY025375,869,217
FEE025338,PAY025376,83,21
FEE025339,PAY025377,33,8
FEE025340,PAY025378,637,159
FEE025341,PAY025379,159,40
FEE025342,PAY025380,613,153
FEE025343,PAY025381,54,14
FEE025344,PAY025382,86,21
FEE025345,PAY025383,132,33
FEE025346,PAY025384,560,140
FEE025347,PAY025385,109,27
FEE025348,PAY025386,380,95
FEE025349,PAY025387,402,100
FEE025350,PAY025388,295,74
FEE025351,PAY025389,136,34
FEE025352,PAY025390,716,179
FEE025353,PAY025391,459,115
FEE025354,PAY025392,621,155
FEE025355,PAY025393,695,174
FEE025356,PAY025394,586,146
FEE025357,PAY025395,938,235
FEE025358,PAY025396,573,143
FEE025359,PAY025397,853,213
FEE025360,PAY025398,862,216
FEE025361,PAY025399,666,166
FEE025362,PAY025400,451,113
FEE025363,PAY025401,745,186
FEE025364,PAY025402,188,47
FEE025365,PAY025403,558,139
FEE025366,PAY025404,219,55
FEE025367,PAY025405,288,72
FEE025368,PAY025406,263,66
FEE025369,PAY025407,172,43
FEE025370,PAY025408,23,6
FEE025371,PAY025409,753,188
FEE025372,PAY025410,291,73
FEE025373,PAY025411,394,99
FEE025374,PAY025412,177,44
FEE025375,PAY025413,300,75
FEE025376,PAY025414,193,48
FEE025377,PAY025415,949,237
FEE025378,PAY025416,350,88
FEE025379,PAY025417,374,94
FEE025380,PAY025418,818,205
FEE025381,PAY025419,392,98
FEE025382,PAY025420,380,95
FEE025383,PAY025421,734,184
FEE025384,PAY025422,172,43
FEE025385,PAY025423,476,119
FEE025386,PAY025424,858,214
FEE025387,PAY025425,22,5
FEE025388,PAY025426,517,129
FEE025389,PAY025427,114,29
FEE025390,PAY025428,688,172
FEE025391,PAY025429,732,183
FEE025392,PAY025430,116,29
FEE025393,PAY025431,292,73
FEE025394,PAY025432,825,206
FEE025395,PAY025433,188,47
FEE025396,PAY025434,299,75
FEE025397,PAY025435,947,237
FEE025398,PAY025436,903,226
FEE025399,PAY025437,171,43
FEE025400,PAY025438,26,7
FEE025401,PAY025439,546,137
FEE025402,PAY025440,336,84
FEE025403,PAY025441,451,113
FEE025404,PAY025442,751,188
FEE025405,PAY025443,123,31
FEE025406,PAY025444,278,70
FEE025407,PAY025445,315,79
FEE025408,PAY025446,160,40
FEE025409,PAY025447,475,119
FEE025410,PAY025448,363,91
FEE025411,PAY025449,753,188
FEE025412,PAY025450,138,34
FEE025413,PAY025451,597,149
FEE025414,PAY025452,484,121
FEE025415,PAY025453,618,154
FEE025416,PAY025454,359,90
FEE025417,PAY025455,247,62
FEE025418,PAY025456,30,8
FEE025419,PAY025457,925,231
FEE025420,PAY025458,278,69
FEE025421,PAY025459,496,124
FEE025422,PAY025460,917,229
FEE025423,PAY025461,684,171
FEE025424,PAY025462,435,109
FEE025425,PAY025463,466,117
FEE025426,PAY025464,215,54
FEE025427,PAY025465,285,71
FEE025428,PAY025466,610,153
FEE025429,PAY025467,498,125
FEE025430,PAY025468,657,164
FEE025431,PAY025469,177,44
FEE025432,PAY025470,770,193
FEE025433,PAY025471,437,109
FEE025434,PAY025472,859,215
FEE025435,PAY025473,616,154
FEE025436,PAY025474,216,54
FEE025437,PAY025475,327,82
FEE025438,PAY025476,617,154
FEE025439,PAY025477,39,10
FEE025440,PAY025478,264,66
FEE025441,PAY025479,416,104
FEE025442,PAY025480,722,180
FEE025443,PAY025481,233,58
FEE025444,PAY025482,427,107
FEE025445,PAY025483,491,123
FEE025446,PAY025484,362,91
FEE025447,PAY025485,628,157
FEE025448,PAY025486,499,125
FEE025449,PAY025487,804,201
FEE025450,PAY025488,845,211
FEE025451,PAY025489,264,66
FEE025452,PAY025490,192,48
FEE025453,PAY025491,42,11
FEE025454,PAY025492,935,234
FEE025455,PAY025493,827,207
FEE025456,PAY025494,866,217
FEE025457,PAY025495,746,187
FEE025458,PAY025496,401,100
FEE025459,PAY025497,849,212
FEE025460,PAY025498,908,227
FEE025461,PAY025499,75,19
FEE025462,PAY025500,194,48
FEE025463,PAY025501,35,9
FEE025464,PAY025502,418,105
FEE025465,PAY025503,957,239
FEE025466,PAY025504,890,223
FEE025467,PAY025505,282,71
FEE025468,PAY025506,631,158
FEE025469,PAY025507,673,168
FEE025470,PAY025508,592,148
FEE025471,PAY025509,745,186
FEE025472,PAY025510,734,183
FEE025473,PAY025511,153,38
FEE025474,PAY025512,113,28
FEE025475,PAY025513,853,213
FEE025476,PAY025514,614,154
FEE025477,PAY025515,614,154
FEE025478,PAY025516,473,118
FEE025479,PAY025517,79,20
FEE025480,PAY025518,586,147
FEE025481,PAY025519,359,90
FEE025482,PAY025520,477,119
FEE025483,PAY025521,120,30
FEE025484,PAY025522,590,148
FEE025485,PAY025523,351,88
FEE025486,PAY025524,175,44
FEE025487,PAY025525,525,131
FEE025488,PAY025526,751,188
FEE025489,PAY025527,619,155
FEE025490,PAY025528,316,79
FEE025491,PAY025529,722,181
FEE025492,PAY025530,950,237
FEE025493,PAY025531,554,138
FEE025494,PAY025532,525,131
FEE025495,PAY025533,676,169
FEE025496,PAY025534,232,58
FEE025497,PAY025535,439,110
FEE025498,PAY025536,215,54
FEE025499,PAY025537,285,71
FEE025500,PAY025538,649,162
FEE025501,PAY025539,23,6
FEE025502,PAY025540,853,213
FEE025503,PAY025541,440,110
FEE025504,PAY025542,693,173
FEE025505,PAY025543,28,7
FEE025506,PAY025544,727,182
FEE025507,PAY025545,132,33
FEE025508,PAY025546,733,183
FEE025509,PAY025547,246,61
FEE025510,PAY025548,596,149
FEE025511,PAY025549,219,55
FEE025512,PAY025550,265,66
FEE025513,PAY025551,635,159
FEE025514,PAY025552,523,131
FEE025515,PAY025553,163,41
FEE025516,PAY025554,316,79
FEE025517,PAY025555,307,77
FEE025518,PAY025556,769,192
FEE025519,PAY025557,396,99
FEE025520,PAY025558,779,195
FEE025521,PAY025559,594,148
FEE025522,PAY025560,114,28
FEE025523,PAY025561,417,104
FEE025524,PAY025562,833,208
FEE025525,PAY025563,499,125
FEE025526,PAY025564,368,92
FEE025527,PAY025565,823,206
FEE025528,PAY025566,263,66
FEE025529,PAY025567,546,137
FEE025530,PAY025568,286,72
FEE025531,PAY025569,370,93
FEE025532,PAY025570,230,57
FEE025533,PAY025571,686,171
FEE025534,PAY025572,202,50
FEE025535,PAY025573,121,30
FEE025536,PAY025574,56,14
FEE025537,PAY025575,417,104
FEE025538,PAY025576,610,153
FEE025539,PAY025577,518,129
FEE025540,PAY025578,403,101
FEE025541,PAY025579,181,45
FEE025542,PAY025580,739,185
FEE025543,PAY025581,556,139
FEE025544,PAY025582,902,226
FEE025545,PAY025583,527,132
FEE025546,PAY025584,54,13
FEE025547,PAY025585,181,45
FEE025548,PAY025586,154,38
FEE025549,PAY025587,434,108
FEE025550,PAY025588,940,235
FEE025551,PAY025589,842,210
FEE025552,PAY025590,619,155
FEE025553,PAY025591,236,59
FEE025554,PAY025592,735,184
FEE025555,PAY025593,654,164
FEE025556,PAY025594,383,96
FEE025557,PAY025595,518,130
FEE025558,PAY025596,823,206
FEE025559,PAY025597,71,18
FEE025560,PAY025598,692,173
FEE025561,PAY025599,123,31
FEE025562,PAY025600,346,87
FEE025563,PAY025601,778,194
FEE025564,PAY025602,525,131
FEE025565,PAY025603,431,108
FEE025566,PAY025604,92,23
FEE025567,PAY025605,511,128
FEE025568,PAY025606,659,165
FEE025569,PAY025607,931,233
FEE025570,PAY025608,77,19
FEE025571,PAY025609,736,184
FEE025572,PAY025610,623,156
FEE025573,PAY025611,827,207
FEE025574,PAY025612,912,228
FEE025575,PAY025613,885,221
FEE025576,PAY025614,34,9
FEE025577,PAY025615,334,84
FEE025578,PAY025616,111,28
FEE025579,PAY025617,216,54
FEE025580,PAY025618,205,51
FEE025581,PAY025619,611,153
FEE025582,PAY025620,702,176
FEE025583,PAY025621,529,132
FEE025584,PAY025622,729,182
FEE025585,PAY025623,550,138
FEE025586,PAY025624,405,101
FEE025587,PAY025625,235,59
FEE025588,PAY025626,414,103
FEE025589,PAY025627,163,41
FEE025590,PAY025628,449,112
FEE025591,PAY025629,791,198
FEE025592,PAY025630,162,40
FEE025593,PAY025631,224,56
FEE025594,PAY025632,431,108
FEE025595,PAY025633,333,83
FEE025596,PAY025634,477,119
FEE025597,PAY025635,42,10
FEE025598,PAY025636,130,33
FEE025599,PAY025637,239,60
FEE025600,PAY025638,285,71
FEE025601,PAY025639,114,29
FEE025602,PAY025640,265,66
FEE025603,PAY025641,44,11
FEE025604,PAY025642,582,146
FEE025605,PAY025643,487,122
FEE025606,PAY025644,605,151
FEE025607,PAY025645,299,75
FEE025608,PAY025646,752,188
FEE025609,PAY025647,174,43
FEE025610,PAY025648,848,212
FEE025611,PAY025649,95,24
FEE025612,PAY025650,137,34
FEE025613,PAY025651,582,146
FEE025614,PAY025652,85,21
FEE025615,PAY025653,271,68
FEE025616,PAY025654,884,221
FEE025617,PAY025655,595,149
FEE025618,PAY025656,714,179
FEE025619,PAY025657,321,80
FEE025620,PAY025658,872,218
FEE025621,PAY025659,563,141
FEE025622,PAY025660,372,93
FEE025623,PAY025661,753,188
FEE025624,PAY025662,938,234
FEE025625,PAY025663,749,187
FEE025626,PAY025664,939,235
FEE025627,PAY025665,325,81
FEE025628,PAY025666,333,83
FEE025629,PAY025667,88,22
FEE025630,PAY025668,837,209
FEE025631,PAY025669,119,30
FEE025632,PAY025670,321,80
FEE025633,PAY025671,582,146
FEE025634,PAY025672,603,151
FEE025635,PAY025673,532,133
FEE025636,PAY025674,152,38
FEE025637,PAY025675,150,38
FEE025638,PAY025676,64,16
FEE025639,PAY025677,808,202
FEE025640,PAY025678,302,76
FEE025641,PAY025679,252,63
FEE025642,PAY025680,490,123
FEE025643,PAY025681,107,27
FEE025644,PAY025682,485,121
FEE025645,PAY025683,596,149
FEE025646,PAY025684,501,125
FEE025647,PAY025685,235,59
FEE025648,PAY025686,441,110
FEE025649,PAY025687,542,136
FEE025650,PAY025688,285,71
FEE025651,PAY025689,835,209
FEE025652,PAY025690,203,51
FEE025653,PAY025691,78,19
FEE025654,PAY025692,772,193
FEE025655,PAY025693,749,187
FEE025656,PAY025694,312,78
FEE025657,PAY025695,581,145
FEE025658,PAY025696,522,131
FEE025659,PAY025697,474,119
FEE025660,PAY025698,910,227
FEE025661,PAY025699,85,21
FEE025662,PAY025700,402,100
FEE025663,PAY025701,463,116
FEE025664,PAY025702,359,90
FEE025665,PAY025703,507,127
FEE025666,PAY025704,394,98
FEE025667,PAY025705,657,164
FEE025668,PAY025706,214,54
FEE025669,PAY025707,676,169
FEE025670,PAY025708,568,142
FEE025671,PAY025709,927,232
FEE025672,PAY025710,41,10
FEE025673,PAY025711,539,135
FEE025674,PAY025712,956,239
FEE025675,PAY025713,517,129
FEE025676,PAY025714,347,87
FEE025677,PAY025715,837,209
FEE025678,PAY025716,162,41
FEE025679,PAY025717,717,179
FEE025680,PAY025718,178,45
FEE025681,PAY025719,114,28
FEE025682,PAY025720,332,83
FEE025683,PAY025721,871,218
FEE025684,PAY025722,172,43
FEE025685,PAY025723,230,58
FEE025686,PAY025724,198,50
FEE025687,PAY025725,116,29
FEE025688,PAY025726,620,155
FEE025689,PAY025727,800,200
FEE025690,PAY025728,25,6
FEE025691,PAY025729,551,138
FEE025692,PAY025730,195,49
FEE025693,PAY025731,297,74
FEE025694,PAY025732,90,23
FEE025695,PAY025733,213,53
FEE025696,PAY025734,650,162
FEE025697,PAY025735,832,208
FEE025698,PAY025736,541,135
FEE025699,PAY025737,578,145
FEE025700,PAY025738,64,16
FEE025701,PAY025739,952,238
FEE025702,PAY025740,394,98
FEE025703,PAY025741,703,176
FEE025704,PAY025742,767,192
FEE025705,PAY025743,100,25
FEE025706,PAY025744,38,9
FEE025707,PAY025745,507,127
FEE025708,PAY025746,322,80
FEE025709,PAY025747,639,160
FEE025710,PAY025748,70,18
FEE025711,PAY025749,809,202
FEE025712,PAY025750,231,58
FEE025713,PAY025751,347,87
FEE025714,PAY025752,399,100
FEE025715,PAY025753,341,85
FEE025716,PAY025754,64,16
FEE025717,PAY025755,893,223
FEE025718,PAY025756,872,218
FEE025719,PAY025757,224,56
FEE025720,PAY025758,873,218
FEE025721,PAY025759,120,30
FEE025722,PAY025760,763,191
FEE025723,PAY025761,302,76
FEE025724,PAY025762,882,220
FEE025725,PAY025763,639,160
FEE025726,PAY025764,762,190
FEE025727,PAY025765,235,59
FEE025728,PAY025766,593,148
FEE025729,PAY025767,70,17
FEE025730,PAY025768,914,228
FEE025731,PAY025769,421,105
FEE025732,PAY025770,850,212
FEE025733,PAY025771,842,210
FEE025734,PAY025772,150,38
FEE025735,PAY025773,352,88
FEE025736,PAY025774,319,80
FEE025737,PAY025775,767,192
FEE025738,PAY025776,855,214
FEE025739,PAY025777,218,54
FEE025740,PAY025778,228,57
FEE025741,PAY025779,380,95
FEE025742,PAY025780,89,22
FEE025743,PAY025781,639,160
FEE025744,PAY025782,740,185
FEE025745,PAY025783,110,28
FEE025746,PAY025784,866,217
FEE025747,PAY025785,652,163
FEE025748,PAY025786,897,224
FEE025749,PAY025787,158,39
FEE025750,PAY025788,239,60
FEE025751,PAY025789,388,97
FEE025752,PAY025790,627,157
FEE025753,PAY025791,521,130
FEE025754,PAY025792,388,97
FEE025755,PAY025793,161,40
FEE025756,PAY025794,491,123
FEE025757,PAY025795,346,87
FEE025758,PAY025796,303,76
FEE025759,PAY025797,583,146
FEE025760,PAY025798,249,62
FEE025761,PAY025799,275,69
FEE025762,PAY025800,308,77
FEE025763,PAY025801,239,60
FEE025764,PAY025802,853,213
FEE025765,PAY025803,73,18
FEE025766,PAY025804,900,225
FEE025767,PAY025805,511,128
FEE025768,PAY025806,950,238
FEE025769,PAY025807,40,10
FEE025770,PAY025808,528,132
FEE025771,PAY025809,691,173
FEE025772,PAY025810,864,216
FEE025773,PAY025811,891,223
FEE025774,PAY025812,436,109
FEE025775,PAY025813,419,105
FEE025776,PAY025814,23,6
FEE025777,PAY025815,66,16
FEE025778,PAY025816,32,8
FEE025779,PAY025817,791,198
FEE025780,PAY025818,465,116
FEE025781,PAY025819,102,26
FEE025782,PAY025820,678,169
FEE025783,PAY025821,698,175
FEE025784,PAY025822,21,5
FEE025785,PAY025823,163,41
FEE025786,PAY025824,523,131
FEE025787,PAY025825,819,205
FEE025788,PAY025826,485,121
FEE025789,PAY025827,767,192
FEE025790,PAY025828,666,167
FEE025791,PAY025829,210,52
FEE025792,PAY025830,382,96
FEE025793,PAY025831,917,229
FEE025794,PAY025832,593,148
FEE025795,PAY025833,730,182
FEE025796,PAY025834,136,34
FEE025797,PAY025835,331,83
FEE025798,PAY025836,947,237
FEE025799,PAY025837,367,92
FEE025800,PAY025838,767,192
FEE025801,PAY025839,686,172
FEE025802,PAY025840,670,168
FEE025803,PAY025841,759,190
FEE025804,PAY025842,803,201
FEE025805,PAY025843,790,198
FEE025806,PAY025844,581,145
FEE025807,PAY025845,139,35
FEE025808,PAY025846,577,144
FEE025809,PAY025847,413,103
FEE025810,PAY025848,545,136
FEE025811,PAY025849,832,208
FEE025812,PAY025850,656,164
FEE025813,PAY025851,146,37
FEE025814,PAY025852,698,175
FEE025815,PAY025853,906,226
FEE025816,PAY025854,326,81
FEE025817,PAY025855,123,31
FEE025818,PAY025856,114,29
FEE025819,PAY025857,714,178
FEE025820,PAY025858,637,159
FEE025821,PAY025859,628,157
FEE025822,PAY025860,276,69
FEE025823,PAY025861,279,70
FEE025824,PAY025862,199,50
FEE025825,PAY025863,790,198
FEE025826,PAY025864,60,15
FEE025827,PAY025865,144,36
FEE025828,PAY025866,243,61
FEE025829,PAY025867,98,24
FEE025830,PAY025868,614,154
FEE025831,PAY025869,344,86
FEE025832,PAY025870,321,80
FEE025833,PAY025871,267,67
FEE025834,PAY025872,377,94
FEE025835,PAY025873,847,212
FEE025836,PAY025874,671,168
FEE025837,PAY025875,265,66
FEE025838,PAY025876,326,82
FEE025839,PAY025877,839,210
FEE025840,PAY025878,149,37
FEE025841,PAY025879,856,214
FEE025842,PAY025880,461,115
FEE025843,PAY025881,768,192
FEE025844,PAY025882,213,53
FEE025845,PAY025883,664,166
FEE025846,PAY025884,179,45
FEE025847,PAY025885,152,38
FEE025848,PAY025886,47,12
FEE025849,PAY025887,511,128
FEE025850,PAY025888,328,82
FEE025851,PAY025889,890,223
FEE025852,PAY025890,599,150
FEE025853,PAY025891,674,169
FEE025854,PAY025892,843,211
FEE025855,PAY025893,499,125
FEE025856,PAY025894,429,107
FEE025857,PAY025895,301,75
FEE025858,PAY025896,130,32
FEE025859,PAY025897,659,165
FEE025860,PAY025898,157,39
FEE025861,PAY025899,629,157
FEE025862,PAY025900,947,237
FEE025863,PAY025901,542,135
FEE025864,PAY025902,301,75
FEE025865,PAY025903,35,9
FEE025866,PAY025904,552,138
FEE025867,PAY025905,135,34
FEE025868,PAY025906,557,139
FEE025869,PAY025907,667,167
FEE025870,PAY025908,526,131
FEE025871,PAY025909,381,95
FEE025872,PAY025910,579,145
FEE025873,PAY025911,750,187
FEE025874,PAY025912,397,99
FEE025875,PAY025913,78,19
FEE025876,PAY025914,352,88
FEE025877,PAY025915,100,25
FEE025878,PAY025916,58,15
FEE025879,PAY025917,140,35
FEE025880,PAY025918,926,232
FEE025881,PAY025919,75,19
FEE025882,PAY025920,802,200
FEE025883,PAY025921,564,141
FEE025884,PAY025922,864,216
FEE025885,PAY025923,765,191
FEE025886,PAY025924,401,100
FEE025887,PAY025925,772,193
FEE025888,PAY025926,644,161
FEE025889,PAY025927,776,194
FEE025890,PAY025928,580,145
FEE025891,PAY025929,701,175
FEE025892,PAY025930,126,32
FEE025893,PAY025931,758,189
FEE025894,PAY025932,754,189
FEE025895,PAY025933,483,121
FEE025896,PAY025934,613,153
FEE025897,PAY025935,218,55
FEE025898,PAY025936,808,202
FEE025899,PAY025937,151,38
FEE025900,PAY025938,107,27
FEE025901,PAY025939,79,20
FEE025902,PAY025940,83,21
FEE025903,PAY025941,876,219
FEE025904,PAY025942,501,125
FEE025905,PAY025943,244,61
FEE025906,PAY025944,382,96
FEE025907,PAY025945,638,160
FEE025908,PAY025946,552,138
FEE025909,PAY025947,862,215
FEE025910,PAY025948,783,196
FEE025911,PAY025949,873,218
FEE025912,PAY025950,789,197
FEE025913,PAY025951,102,25
FEE025914,PAY025952,179,45
FEE025915,PAY025953,295,74
FEE025916,PAY025954,293,73
FEE025917,PAY025955,245,61
FEE025918,PAY025956,845,211
FEE025919,PAY025957,587,147
FEE025920,PAY025958,403,101
FEE025921,PAY025959,749,187
FEE025922,PAY025960,444,111
FEE025923,PAY025961,481,120
FEE025924,PAY025962,914,228
FEE025925,PAY025963,115,29
FEE025926,PAY025964,206,51
FEE025927,PAY025965,881,220
FEE025928,PAY025966,900,225
FEE025929,PAY025967,911,228
FEE025930,PAY025968,542,136
FEE025931,PAY025969,24,6
FEE025932,PAY025970,678,170
FEE025933,PAY025971,620,155
FEE025934,PAY025972,822,206
FEE025935,PAY025973,648,162
FEE025936,PAY025974,746,187
FEE025937,PAY025975,735,184
FEE025938,PAY025976,56,14
FEE025939,PAY025977,744,186
FEE025940,PAY025978,370,93
FEE025941,PAY025979,513,128
FEE025942,PAY025980,231,58
FEE025943,PAY025981,765,191
FEE025944,PAY025982,600,150
FEE025945,PAY025983,607,152
FEE025946,PAY025984,388,97
FEE025947,PAY025985,945,236
FEE025948,PAY025986,458,114
FEE025949,PAY025987,496,124
FEE025950,PAY025988,429,107
FEE025951,PAY025989,634,158
FEE025952,PAY025990,362,91
FEE025953,PAY025991,662,165
FEE025954,PAY025992,358,89
FEE025955,PAY025993,65,16
FEE025956,PAY025994,652,163
FEE025957,PAY025995,193,48
FEE025958,PAY025996,120,30
FEE025959,PAY025997,178,45
FEE025960,PAY025998,71,18
FEE025961,PAY025999,296,74
FEE025962,PAY026000,165,41
FEE025963,PAY026001,460,115
FEE025964,PAY026002,688,172
FEE025965,PAY026003,474,119
FEE025966,PAY026004,237,59
FEE025967,PAY026005,432,108
FEE025968,PAY026006,269,67
FEE025969,PAY026007,820,205
FEE025970,PAY026008,715,179
FEE025971,PAY026009,39,10
FEE025972,PAY026010,562,140
FEE025973,PAY026011,468,117
FEE025974,PAY026012,476,119
FEE025975,PAY026013,956,239
FEE025976,PAY026014,370,92
FEE025977,PAY026015,839,210
FEE025978,PAY026016,26,7
FEE025979,PAY026017,564,141
FEE025980,PAY026018,108,27
FEE025981,PAY026019,67,17
FEE025982,PAY026020,841,210
FEE025983,PAY026021,563,141
FEE025984,PAY026022,773,193
FEE025985,PAY026023,570,143
FEE025986,PAY026024,661,165
FEE025987,PAY026025,866,216
FEE025988,PAY026026,63,16
FEE025989,PAY026027,143,36
FEE025990,PAY026028,327,82
FEE025991,PAY026029,523,131
FEE025992,PAY026030,540,135
FEE025993,PAY026031,310,77
FEE025994,PAY026032,446,112
FEE025995,PAY026033,497,124
FEE025996,PAY026034,470,117
FEE025997,PAY026035,449,112
FEE025998,PAY026036,786,196
FEE025999,PAY026037,31,8
